Timestamp,URMS,UMN,UDC,UAC,IRMS,IMN,IDC,IAC,P,S,Q,LAMB,PHI,FU,FI
2024-04-23T15:47:57,0.0,0.0,0.08,0.0,0.55,0.0,-0.41,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:47:58,0.0,0.0,0.1,0.0,0.56,0.0,-0.43,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:47:59,0.0,0.0,0.07,0.0,0.54,0.0,-0.41,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:00,0.0,0.0,0.06,0.0,0.55,0.0,-0.43,0.34,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:01,0.0,0.0,0.09,0.0,0.57,0.0,-0.42,0.38,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:02,0.0,0.0,0.09,0.0,0.57,0.0,-0.41,0.4,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:04,0.0,0.0,0.07,0.0,0.55,0.0,-0.42,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:05,0.0,0.0,0.06,0.0,0.59,0.0,-0.44,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:06,0.0,0.0,0.09,0.0,0.57,0.0,-0.4,0.4,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:07,0.0,0.0,0.09,0.0,0.55,0.0,-0.42,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:08,0.0,0.0,0.06,0.0,0.57,0.0,-0.43,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:09,0.0,0.0,0.06,0.0,0.53,0.0,-0.4,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:11,0.0,0.0,0.1,0.0,0.53,0.0,-0.4,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:12,0.0,0.0,0.08,0.0,0.54,0.0,-0.4,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:13,0.0,0.0,0.07,0.0,0.54,0.0,-0.42,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:14,0.0,0.0,0.07,0.0,0.56,0.0,-0.41,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:15,0.0,0.0,0.11,0.0,0.55,0.0,-0.39,0.39,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:17,0.0,0.0,0.09,0.0,0.56,0.0,-0.42,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:18,0.0,0.0,0.07,0.0,0.58,0.0,-0.42,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:19,0.0,0.0,0.08,0.0,0.57,0.0,-0.42,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:20,0.0,0.0,0.1,0.0,0.56,0.0,-0.42,0.37,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:21,0.0,0.0,0.08,0.0,0.55,0.0,-0.4,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:22,0.0,0.0,0.06,0.0,0.55,0.0,-0.42,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:24,0.0,0.0,0.09,0.0,0.53,0.0,-0.4,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:25,0.0,0.0,0.1,0.0,0.55,0.0,-0.41,0.37,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:26,0.0,0.0,0.07,0.0,0.55,0.0,-0.42,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:27,0.0,0.0,0.06,0.0,0.55,0.0,-0.4,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:28,0.0,0.0,0.09,0.0,0.56,0.0,-0.41,0.39,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:29,0.0,0.0,0.1,0.0,0.56,0.0,-0.4,0.38,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:31,0.0,0.0,0.07,0.0,0.55,0.0,-0.39,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:32,0.0,0.0,0.06,0.0,0.56,0.0,-0.41,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:33,0.0,0.0,0.1,0.0,0.56,0.0,-0.41,0.38,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:34,0.0,0.0,0.09,0.0,0.56,0.0,-0.41,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:35,0.0,0.0,0.06,0.0,0.55,0.0,-0.42,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:36,0.0,0.0,0.07,0.0,0.56,0.0,-0.43,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:37,0.0,0.0,0.11,0.0,0.54,0.0,-0.4,0.36,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:39,0.0,0.0,0.08,0.0,0.55,0.0,-0.42,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:40,0.0,0.0,0.06,0.0,0.53,0.0,-0.37,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:41,0.0,0.0,0.08,0.0,0.57,0.0,-0.42,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:42,0.0,0.0,0.11,0.0,0.58,0.0,-0.43,0.39,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:43,0.0,0.0,0.08,0.0,0.6,0.0,-0.43,0.41,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:44,0.0,0.0,0.06,0.0,0.54,0.0,-0.39,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:46,0.0,0.0,0.08,0.0,0.54,0.0,-0.39,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:47,0.0,0.0,0.1,0.0,0.55,0.0,-0.39,0.38,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:48,0.0,0.0,0.07,0.0,0.53,0.0,-0.4,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:49,0.0,0.0,0.06,0.0,0.54,0.0,-0.42,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:50,0.0,0.0,0.09,0.0,0.54,0.0,-0.4,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:52,0.0,0.0,0.09,0.0,0.54,0.0,-0.4,0.36,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:53,0.0,0.0,0.07,0.0,0.56,0.0,-0.41,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:54,0.0,0.0,0.07,0.0,0.55,0.0,-0.4,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:55,0.0,0.0,0.09,0.0,0.55,0.0,-0.39,0.39,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:56,0.0,0.0,0.09,0.0,0.56,0.0,-0.39,0.4,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:57,0.0,0.0,0.07,0.0,0.57,0.0,-0.43,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:48:59,0.0,0.0,0.07,0.0,0.55,0.0,-0.41,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:00,0.0,0.0,0.1,0.0,0.54,0.0,-0.39,0.38,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:01,0.0,0.0,0.08,0.0,0.51,0.0,-0.38,0.34,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:02,0.0,0.0,0.06,0.0,0.53,0.0,-0.39,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:03,0.0,0.0,0.08,0.0,0.54,0.0,-0.41,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:04,0.0,0.0,0.1,0.0,0.57,0.0,-0.43,0.37,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:06,0.0,0.0,0.08,0.0,0.57,0.0,-0.41,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:07,0.0,0.0,0.07,0.0,0.55,0.0,-0.41,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:08,0.0,0.0,0.08,0.0,0.57,0.0,-0.41,0.39,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:09,0.0,0.0,0.1,0.0,0.57,0.0,-0.4,0.41,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:10,0.0,0.0,0.07,0.0,0.54,0.0,-0.39,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:11,0.0,0.0,0.06,0.0,0.55,0.0,-0.42,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:12,0.0,0.0,0.09,0.0,0.55,0.0,-0.4,0.38,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:14,0.0,0.0,0.09,0.0,0.53,0.0,-0.4,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:15,0.0,0.0,0.06,0.0,0.54,0.0,-0.4,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:16,0.0,0.0,0.06,0.0,0.54,0.0,-0.4,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:17,0.0,0.0,0.1,0.0,0.54,0.0,-0.39,0.37,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:18,0.0,0.0,0.09,0.0,0.55,0.0,-0.39,0.39,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:20,0.0,0.0,0.06,0.0,0.56,0.0,-0.41,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:21,0.0,0.0,0.07,0.0,0.55,0.0,-0.4,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:22,0.0,0.0,0.1,0.0,0.57,0.0,-0.4,0.41,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:23,0.0,0.0,0.08,0.0,0.55,0.0,-0.4,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:24,0.0,0.0,0.06,0.0,0.56,0.0,-0.42,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:25,0.0,0.0,0.07,0.0,0.56,0.0,-0.42,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:27,0.0,0.0,0.1,0.0,0.53,0.0,-0.4,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:28,0.0,0.0,0.07,0.0,0.55,0.0,-0.41,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:29,0.0,0.0,0.06,0.0,0.56,0.0,-0.42,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:30,0.0,0.0,0.09,0.0,0.55,0.0,-0.41,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:31,0.0,0.0,0.1,0.0,0.56,0.0,-0.39,0.41,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:32,0.0,0.0,0.07,0.0,0.56,0.0,-0.41,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:34,0.0,0.0,0.06,0.0,0.56,0.0,-0.4,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:35,0.0,0.0,0.09,0.0,0.57,0.0,-0.41,0.39,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:36,0.0,0.0,0.1,0.0,0.54,0.0,-0.39,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:37,0.0,0.0,0.06,0.0,0.55,0.0,-0.4,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:38,0.0,0.0,0.06,0.0,0.54,0.0,-0.41,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:39,0.0,0.0,0.1,0.0,0.52,0.0,-0.39,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:40,0.0,0.0,0.09,0.0,0.52,0.0,-0.37,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:42,0.0,0.0,0.06,0.0,0.55,0.0,-0.43,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:43,0.0,0.0,0.08,0.0,0.54,0.0,-0.39,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:44,0.0,0.0,0.1,0.0,0.55,0.0,-0.38,0.39,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:45,0.0,0.0,0.08,0.0,0.54,0.0,-0.39,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:46,0.0,0.0,0.07,0.0,0.57,0.0,-0.41,0.4,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:48,0.0,0.0,0.08,0.0,0.56,0.0,-0.39,0.4,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:49,0.0,0.0,0.11,0.0,0.55,0.0,-0.4,0.37,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:50,0.0,0.0,0.08,0.0,0.56,0.0,-0.41,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:51,0.0,0.0,0.06,0.0,0.51,0.0,-0.36,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:52,0.0,0.0,0.08,0.0,0.51,0.0,-0.38,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:53,0.0,0.0,0.1,0.0,0.55,0.0,-0.4,0.38,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:55,0.0,0.0,0.06,0.0,0.54,0.0,-0.4,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:56,0.0,0.0,0.07,0.0,0.55,0.0,-0.41,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:57,0.0,0.0,0.09,0.0,0.58,0.0,-0.42,0.39,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:58,0.0,0.0,0.09,0.0,0.56,0.0,-0.41,0.39,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:49:59,0.0,0.0,0.07,0.0,0.56,0.0,-0.4,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:01,0.0,0.0,0.07,0.0,0.57,0.0,-0.42,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:02,0.0,0.0,0.09,0.0,0.54,0.0,-0.39,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:03,0.0,0.0,0.07,0.0,0.54,0.0,-0.4,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:04,0.0,0.0,0.07,0.0,0.53,0.0,-0.4,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:06,0.0,0.0,0.11,0.0,0.55,0.0,-0.4,0.37,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:07,0.0,0.0,0.09,0.0,0.53,0.0,-0.38,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:08,0.0,0.0,0.07,0.0,0.55,0.0,-0.4,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:10,0.0,0.0,0.11,0.0,0.55,0.0,-0.4,0.38,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:12,0.0,0.0,0.08,0.0,0.57,0.0,-0.4,0.41,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:13,0.0,0.0,0.06,0.0,0.55,0.0,-0.39,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:15,0.0,0.0,0.09,0.0,0.55,0.0,-0.41,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:16,0.0,0.0,0.1,0.0,0.54,0.0,-0.39,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:17,0.0,0.0,0.07,0.0,0.56,0.0,-0.42,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:18,0.0,0.0,0.1,0.0,0.55,0.0,-0.41,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:20,0.0,0.0,0.1,0.0,0.54,0.0,-0.4,0.35,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:21,0.0,0.0,0.07,0.0,0.57,0.0,-0.42,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:22,0.0,0.0,0.07,0.0,0.55,0.0,-0.39,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:23,0.0,0.0,0.11,0.0,0.56,0.0,-0.42,0.38,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:25,0.0,0.0,0.09,0.0,0.55,0.0,-0.37,0.41,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:26,0.0,0.0,0.06,0.0,0.57,0.0,-0.41,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:28,0.0,0.0,0.1,0.0,0.56,0.0,-0.41,0.37,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:30,0.0,0.0,0.08,0.0,0.54,0.0,-0.41,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:31,0.0,0.0,0.06,0.0,0.54,0.0,-0.41,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:32,0.0,0.0,0.08,0.0,0.54,0.0,-0.4,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:33,0.0,0.0,0.11,0.0,0.54,0.0,-0.4,0.36,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:34,0.0,0.0,0.07,0.0,0.55,0.0,-0.4,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:35,0.0,0.0,0.06,0.0,0.59,0.0,-0.44,0.4,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:37,0.0,0.0,0.09,0.0,0.56,0.0,-0.42,0.37,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:38,0.0,0.0,0.09,0.0,0.59,0.0,-0.43,0.4,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:39,0.0,0.0,0.07,0.0,0.57,0.0,-0.41,0.4,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:40,0.0,0.0,0.07,0.0,0.54,0.0,-0.41,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:41,0.0,0.0,0.1,0.0,0.54,0.0,-0.4,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:42,0.0,0.0,0.09,0.0,0.56,0.0,-0.42,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:43,0.0,0.0,0.07,0.0,0.57,0.0,-0.43,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:45,0.0,0.0,0.07,0.0,0.55,0.0,-0.41,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:46,0.0,0.0,0.1,0.0,0.55,0.0,-0.41,0.36,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:47,0.0,0.0,0.08,0.0,0.57,0.0,-0.41,0.4,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:48,0.0,0.0,0.06,0.0,0.58,0.0,-0.42,0.4,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:49,0.0,0.0,0.08,0.0,0.56,0.0,-0.4,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:51,0.0,0.0,0.11,0.0,0.58,0.0,-0.42,0.4,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:52,0.0,0.0,0.07,0.0,0.57,0.0,-0.42,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:53,0.0,0.0,0.07,0.0,0.57,0.0,-0.44,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:54,0.0,0.0,0.08,0.0,0.56,0.0,-0.43,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:55,0.0,0.0,0.1,0.0,0.54,0.0,-0.42,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:56,0.0,0.0,0.07,0.0,0.55,0.0,-0.41,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:57,0.0,0.0,0.06,0.0,0.56,0.0,-0.42,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:50:59,0.0,0.0,0.1,0.0,0.53,0.0,-0.4,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:00,0.0,0.0,0.09,0.0,0.56,0.0,-0.39,0.39,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:01,0.0,0.0,0.06,0.0,0.58,0.0,-0.41,0.41,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:02,0.0,0.0,0.07,0.0,0.57,0.0,-0.42,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:03,0.0,0.0,0.11,0.0,0.57,0.0,-0.41,0.39,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:04,0.0,0.0,0.08,0.0,0.54,0.0,-0.38,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:06,0.0,0.0,0.06,0.0,0.54,0.0,-0.39,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:07,0.0,0.0,0.08,0.0,0.55,0.0,-0.41,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:08,0.0,0.0,0.1,0.0,0.51,0.0,-0.38,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:09,0.0,0.0,0.07,0.0,0.53,0.0,-0.38,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:10,0.0,0.0,0.06,0.0,0.55,0.0,-0.4,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:11,0.0,0.0,0.08,0.0,0.53,0.0,-0.4,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:13,0.0,0.0,0.1,0.0,0.57,0.0,-0.41,0.39,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:14,0.0,0.0,0.07,0.0,0.55,0.0,-0.38,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:15,0.0,0.0,0.06,0.0,0.54,0.0,-0.38,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:16,0.0,0.0,0.1,0.0,0.55,0.0,-0.37,0.4,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:17,0.0,0.0,0.1,0.0,0.55,0.0,-0.4,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:18,0.0,0.0,0.07,0.0,0.55,0.0,-0.42,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:20,0.0,0.0,0.07,0.0,0.55,0.0,-0.39,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:21,0.0,0.0,0.1,0.0,0.53,0.0,-0.4,0.35,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:22,0.0,0.0,0.08,0.0,0.55,0.0,-0.41,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:23,0.0,0.0,0.06,0.0,0.54,0.0,-0.39,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:24,0.0,0.0,0.07,0.0,0.54,0.0,-0.4,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:26,0.0,0.0,0.1,0.0,0.55,0.0,-0.39,0.39,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:27,0.0,0.0,0.07,0.0,0.55,0.0,-0.39,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:28,0.0,0.0,0.06,0.0,0.55,0.0,-0.38,0.4,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:29,0.0,0.0,0.08,0.0,0.55,0.0,-0.39,0.4,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:30,0.0,0.0,0.1,0.0,0.52,0.0,-0.37,0.37,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:31,0.0,0.0,0.07,0.0,0.55,0.0,-0.4,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:32,0.0,0.0,0.06,0.0,0.55,0.0,-0.4,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:34,0.0,0.0,0.09,0.0,0.53,0.0,-0.41,0.34,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:35,0.0,0.0,0.09,0.0,0.54,0.0,-0.4,0.36,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:36,0.0,0.0,0.07,0.0,0.54,0.0,-0.39,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:37,0.0,0.0,0.07,0.0,0.55,0.0,-0.41,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:38,0.0,0.0,0.1,0.0,0.58,0.0,-0.42,0.4,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:39,0.0,0.0,0.08,0.0,0.54,0.0,-0.38,0.38,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:41,0.0,0.0,0.06,0.0,0.55,0.0,-0.39,0.39,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:42,0.0,0.0,0.07,0.0,0.59,0.0,-0.42,0.41,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:43,0.0,0.0,0.11,0.0,0.57,0.0,-0.43,0.37,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:44,0.0,0.0,0.07,0.0,0.54,0.0,-0.4,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:45,0.0,0.0,0.06,0.0,0.55,0.0,-0.41,0.37,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:46,0.0,0.0,0.08,0.0,0.53,0.0,-0.41,0.34,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:48,0.0,0.0,0.11,0.0,0.53,0.0,-0.39,0.36,0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:49,0.0,0.0,0.07,0.0,0.55,0.0,-0.41,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
2024-04-23T15:51:50,0.0,0.0,0.07,0.0,0.56,0.0,-0.42,0.36,-0.0,0.0,0.0,inf,inf,nan,nan
